time(s),mls0_(m),mls1_(m),V(m/s),W(rad/s)
1614597178.271491,0.006000000052154064,0.003000000026077032,-0.5612401877475192,-0.02920754300473105
1614597178.321412,0.006000000052154064,0.0020000000949949026,-0.5665499596568071,-0.029669610092085283
1614597178.371495,0.007000000216066837,0.0010000000474974513,-0.5767942375718116,-0.02030398223703107
1614597178.421406,0.007000000216066837,0.0010000000474974513,-0.5841685767430732,-0.010301522815523175
1614597178.471514,0.007000000216066837,0.0,-0.5915518399404389,-0.0
1614597178.521416,0.006000000052154064,-0.0010000000474974513,-0.5891402242047165,0.010389189580403285
1614597178.571463,0.006000000052154064,-0.0020000000949949026,-0.5837321640728591,0.020420438252175977
1614597178.621414,0.006000000052154064,-0.0020000000949949026,-0.5861848202244258,0.020506216012030284
1614597178.671456,0.006000000052154064,-0.0020000000949949026,-0.5789392598168903,0.030318055987585194
1614597178.721406,0.004999999888241291,-0.0020000000949949026,-0.5839657503730101,0.02042860757474216
1614597178.771494,0.004000000189989805,-0.0020000000949949026,-0.5810313327569651,0.020198860739521943
1614597178.821415,0.003000000026077032,-0.0020000000949949026,-0.5780855629652752,0.01997000511774638
1614597178.871496,0.0020000000949949026,-0.0010000000474974513,-0.5801799720156728,0.009977293021194154
1614597178.921409,0.0020000000949949026,0.0,-0.5822686467036079,-0.0
1614597178.971481,0.0010000000474974513,0.0020000000949949026,-0.574270403332433,-0.009750014680158518
1614597179.021446,0.0010000000474974513,0.003000000026077032,-0.575128453695509,-0.019742048599218135
1614597179.071467,0.0010000000474974513,0.004000000189989805,-0.576841612728964,-0.0404455813452955
1614597179.121465,0.0020000000949949026,0.004999999888241291,-0.5747380329192789,-0.050577765211426935
1614597179.171491,0.003000000026077032,0.006000000052154064,-0.5717679881321421,-0.05000432546903301
1614597179.221412,0.004000000189989805,0.004999999888241291,-0.5687865475851117,-0.049433137590186915
1614597179.271525,0.004999999888241291,0.004999999888241291,-0.565793726483746,-0.04886421583545486
1614597179.321414,0.004999999888241291,0.004000000189989805,-0.565793726483746,-0.04886421583545486
1614597179.371478,0.006000000052154064,0.004000000189989805,-0.573879548485593,-0.039987103513280955
1614597179.421406,0.007000000216066837,0.0020000000949949026,-0.5818816345096567,-0.030662970126117992
1614597179.471494,0.00800000037997961,0.0010000000474974513,-0.5868887236180437,-0.02065923019593361
1614597179.521427,0.00800000037997961,0.0,-0.5947551195006127,-0.010553265476085495
